date,datetime,channel,promo_title,recommended_position,recommended_offset_minutes,uplift_if_optimised,observed_effectiveness_score,best_possible_score,slm_scheduler_output
2018-07-18,2018-07-18 08:38:42,Viasat History CEE,IWHIS134,move_to_early_prime,30,27.47,0.0,27.47,Move 'IWHIS134' from 08:38 to move to early prime (+30 min). Estimated uplift 27.5 points from 0.0 to 27.5.
2018-07-18,2018-07-18 08:38:52,Viasat History CEE,VWOPIN,keep,0,7.16,20.08,27.24,Keep 'VWOPIN' as scheduled at 08:38. Current placement is acceptable. Estimated effectiveness 20.1/100.
2018-07-18,2018-07-18 08:50:39,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 08:50:39,Viasat History CEE,VWOPOUT,move_to_early_prime,30,10.74,14.9,25.64,Move 'VWOPOUT' from 08:50 to move to early prime (+30 min). Estimated uplift 10.7 points from 14.9 to 25.6.
2018-07-18,2018-07-18 08:50:40,Viasat History CEE,VW02684,keep,0,4.9,15.45,20.35,Keep 'VW02684' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness 15.4/100.
2018-07-18,2018-07-18 08:50:55,Viasat History CEE,VW02733,move_to_early_prime,30,9.28,19.35,28.63,Move 'VW02733' from 08:50 to move to early prime (+30 min). Estimated uplift 9.3 points from 19.4 to 28.6.
2018-07-18,2018-07-18 08:51:25,Viasat History CEE,VW02730,keep,0,7.21,21.42,28.63,Keep 'VW02730' as scheduled at 08:51. Current placement is acceptable. Estimated effectiveness 21.4/100.
2018-07-18,2018-07-18 08:51:55,Viasat History CEE,VW02717,move_to_early_prime,30,9.78,18.85,28.63,Move 'VW02717' from 08:51 to move to early prime (+30 min). Estimated uplift 9.8 points from 18.9 to 28.6.
2018-07-18,2018-07-18 08:52:25,Viasat History CEE,IWHIS134,keep,0,5.42,23.21,28.63,Keep 'IWHIS134' as scheduled at 08:52. Current placement is acceptable. Estimated effectiveness 23.2/100.
2018-07-18,2018-07-18 08:52:35,Viasat History CEE,VWOPIN,move_to_early_prime,30,9.17,16.47,25.64,Move 'VWOPIN' from 08:52 to move to early prime (+30 min). Estimated uplift 9.2 points from 16.5 to 25.6.
2018-07-18,2018-07-18 09:14:54,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 09:14:54,Viasat History CEE,VWOPOUT,keep,0,0.0,35.28,35.24,Keep 'VWOPOUT' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness 35.3/100.
2018-07-18,2018-07-18 09:14:55,Viasat History CEE,VW02684,keep,0,0.88,29.07,29.95,Keep 'VW02684' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness 29.1/100.
2018-07-18,2018-07-18 09:15:10,Viasat History CEE,VW02733,keep,0,2.59,35.64,38.23,Keep 'VW02733' as scheduled at 09:15. Current placement is acceptable. Estimated effectiveness 35.6/100.
2018-07-18,2018-07-18 09:15:40,Viasat History CEE,VW02730,keep,0,0.0,42.19,38.23,Keep 'VW02730' as scheduled at 09:15. Current placement is acceptable. Estimated effectiveness 42.2/100.
2018-07-18,2018-07-18 09:16:10,Viasat History CEE,VW02717,keep,0,0.0,38.49,38.23,Keep 'VW02717' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 38.5/100.
2018-07-18,2018-07-18 09:16:40,Viasat History CEE,IWHIS134,keep,0,0.0,38.44,38.23,Keep 'IWHIS134' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 38.4/100.
2018-07-18,2018-07-18 09:16:50,Viasat History CEE,VWOPIN,keep,0,0.0,36.84,35.24,Keep 'VWOPIN' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 36.8/100.
2018-07-19,2018-07-19 06:00:00,Viasat History CEE,IWHIS132,keep,0,0.58,37.19,37.77,Keep 'IWHIS132' as scheduled at 06:00. Current placement is acceptable. Estimated effectiveness 37.2/100.
2018-07-19,2018-07-19 06:46:09,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 06:46:09,Viasat History CEE,VWOPOUT,keep,0,0.0,37.47,34.78,Keep 'VWOPOUT' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 37.5/100.
2018-07-19,2018-07-19 06:46:10,Viasat History CEE,VW02684,keep,0,0.0,30.03,29.49,Keep 'VW02684' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 30.0/100.
2018-07-19,2018-07-19 06:46:25,Viasat History CEE,VW02733,keep,0,0.77,37.0,37.77,Keep 'VW02733' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 37.0/100.
2018-07-19,2018-07-19 06:46:55,Viasat History CEE,VW02730,keep,0,0.08,37.69,37.77,Keep 'VW02730' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 37.7/100.
2018-07-19,2018-07-19 06:47:25,Viasat History CEE,VW02717,keep,0,0.37,37.4,37.77,Keep 'VW02717' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 37.4/100.
2018-07-19,2018-07-19 06:47:55,Viasat History CEE,IWHIS134,keep,0,3.14,34.63,37.77,Keep 'IWHIS134' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 34.6/100.
2018-07-19,2018-07-19 06:48:05,Viasat History CEE,VWOPIN,keep,0,2.77,32.01,34.78,Keep 'VWOPIN' as scheduled at 06:48. Current placement is acceptable. Estimated effectiveness 32.0/100.
2018-07-19,2018-07-19 07:04:33,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 07:04:33,Viasat History CEE,VWOPOUT,keep,0,2.75,30.43,33.18,Keep 'VWOPOUT' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 30.4/100.
2018-07-19,2018-07-19 07:04:34,Viasat History CEE,VW02684,keep,0,1.06,26.83,27.89,Keep 'VW02684' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 26.8/100.
2018-07-19,2018-07-19 07:04:49,Viasat History CEE,VW02733,keep,0,3.94,32.23,36.17,Keep 'VW02733' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 32.2/100.
2018-07-19,2018-07-19 07:05:19,Viasat History CEE,VW02730,move_to_early_prime,30,8.79,27.38,36.17,Move 'VW02730' from 07:05 to move to early prime (+30 min). Estimated uplift 8.8 points from 27.4 to 36.2.
2018-07-19,2018-07-19 07:05:49,Viasat History CEE,VW02717,keep,0,2.26,33.91,36.17,Keep 'VW02717' as scheduled at 07:05. Current placement is acceptable. Estimated effectiveness 33.9/100.
2018-07-19,2018-07-19 07:06:19,Viasat History CEE,IWHIS134,keep,0,1.04,35.13,36.17,Keep 'IWHIS134' as scheduled at 07:06. Current placement is acceptable. Estimated effectiveness 35.1/100.
2018-07-19,2018-07-19 07:06:29,Viasat History CEE,VWOPIN,keep,0,2.27,30.91,33.18,Keep 'VWOPIN' as scheduled at 07:06. Current placement is acceptable. Estimated effectiveness 30.9/100.
2018-07-19,2018-07-19 07:22:21,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 07:22:21,Viasat History CEE,VWOPOUT,move_to_early_prime,30,12.12,19.46,31.58,Move 'VWOPOUT' from 07:22 to move to early prime (+30 min). Estimated uplift 12.1 points from 19.5 to 31.6.
2018-07-19,2018-07-19 07:22:22,Viasat History CEE,VW02684,keep,0,0.14,26.15,26.29,Keep 'VW02684' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness 26.1/100.
2018-07-19,2018-07-19 07:22:37,Viasat History CEE,VW02733,keep,0,7.24,27.33,34.57,Keep 'VW02733' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness 27.3/100.
2018-07-19,2018-07-19 07:23:07,Viasat History CEE,VW02730,keep,0,3.32,31.25,34.57,Keep 'VW02730' as scheduled at 07:23. Current placement is acceptable. Estimated effectiveness 31.2/100.
2018-07-19,2018-07-19 07:23:37,Viasat History CEE,VW02717,keep,0,3.73,30.84,34.57,Keep 'VW02717' as scheduled at 07:23. Current placement is acceptable. Estimated effectiveness 30.8/100.
2018-07-19,2018-07-19 07:24:07,Viasat History CEE,IWHIS134,keep,0,5.62,28.95,34.57,Keep 'IWHIS134' as scheduled at 07:24. Current placement is acceptable. Estimated effectiveness 28.9/100.
2018-07-19,2018-07-19 07:24:17,Viasat History CEE,VWOPIN,keep,0,3.57,28.01,31.58,Keep 'VWOPIN' as scheduled at 07:24. Current placement is acceptable. Estimated effectiveness 28.0/100.
2018-07-19,2018-07-19 08:00:48,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:00. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 08:00:48,Viasat History CEE,VWOPOUT,keep,0,1.65,28.33,29.98,Keep 'VWOPOUT' as scheduled at 08:00. Current placement is acceptable. Estimated effectiveness 28.3/100.
2018-07-19,2018-07-19 08:00:49,Viasat History CEE,VW02684,keep,0,7.04,17.65,24.69,Keep 'VW02684' as scheduled at 08:00. Current placement is acceptable. Estimated effectiveness 17.6/100.
2018-07-19,2018-07-19 08:01:04,Viasat History CEE,VW02733,move_to_early_prime,30,10.87,22.1,32.97,Move 'VW02733' from 08:01 to move to early prime (+30 min). Estimated uplift 10.9 points from 22.1 to 33.0.
2018-07-19,2018-07-19 08:01:34,Viasat History CEE,VW02730,keep,0,6.55,26.42,32.97,Keep 'VW02730' as scheduled at 08:01. Current placement is acceptable. Estimated effectiveness 26.4/100.
2018-07-19,2018-07-19 08:02:04,Viasat History CEE,VW02717,keep,0,5.52,27.45,32.97,Keep 'VW02717' as scheduled at 08:02. Current placement is acceptable. Estimated effectiveness 27.4/100.
2018-07-19,2018-07-19 08:02:34,Viasat History CEE,IWHIS134,keep,0,5.14,27.83,32.97,Keep 'IWHIS134' as scheduled at 08:02. Current placement is acceptable. Estimated effectiveness 27.8/100.
2018-07-19,2018-07-19 08:02:44,Viasat History CEE,VWOPIN,keep,0,6.33,23.65,29.98,Keep 'VWOPIN' as scheduled at 08:02. Current placement is acceptable. Estimated effectiveness 23.6/100.
2018-07-19,2018-07-19 08:18:53,Viasat History CEE,VWOPOUT,keep,0,6.64,21.74,28.38,Keep 'VWOPOUT' as scheduled at 08:18. Current placement is acceptable. Estimated effectiveness 21.7/100.
2018-07-19,2018-07-19 08:18:53,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:18. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 08:18:54,Viasat History CEE,VW02684,move_to_early_prime,30,12.13,10.96,23.09,Move 'VW02684' from 08:18 to move to early prime (+30 min). Estimated uplift 12.1 points from 11.0 to 23.1.
2018-07-19,2018-07-19 08:19:09,Viasat History CEE,VW02733,keep,0,5.85,25.52,31.37,Keep 'VW02733' as scheduled at 08:19. Current placement is acceptable. Estimated effectiveness 25.5/100.
2018-07-19,2018-07-19 08:19:39,Viasat History CEE,VW02730,keep,0,2.46,28.91,31.37,Keep 'VW02730' as scheduled at 08:19. Current placement is acceptable. Estimated effectiveness 28.9/100.
2018-07-19,2018-07-19 08:20:09,Viasat History CEE,VW02717,keep,0,2.98,28.39,31.37,Keep 'VW02717' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 28.4/100.
2018-07-19,2018-07-19 08:20:39,Viasat History CEE,IWHIS134,keep,0,2.72,28.65,31.37,Keep 'IWHIS134' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 28.6/100.
2018-07-19,2018-07-19 08:20:49,Viasat History CEE,VWOPIN,keep,0,6.62,21.76,28.38,Keep 'VWOPIN' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 21.8/100.
2018-07-19,2018-07-19 08:36:56,Viasat History CEE,VWOPOUT,keep,0,6.26,20.52,26.78,Keep 'VWOPOUT' as scheduled at 08:36. Current placement is acceptable. Estimated effectiveness 20.5/100.
2018-07-19,2018-07-19 08:36:56,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:36. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 08:36:57,Viasat History CEE,VW02684,move_to_early_prime,30,12.14,9.35,21.49,Move 'VW02684' from 08:36 to move to early prime (+30 min). Estimated uplift 12.1 points from 9.3 to 21.5.
2018-07-19,2018-07-19 08:37:12,Viasat History CEE,VW02733,keep,0,7.9,21.87,29.77,Keep 'VW02733' as scheduled at 08:37. Current placement is acceptable. Estimated effectiveness 21.9/100.
2018-07-19,2018-07-19 08:37:42,Viasat History CEE,VW02730,move_to_early_prime,30,10.71,19.06,29.77,Move 'VW02730' from 08:37 to move to early prime (+30 min). Estimated uplift 10.7 points from 19.1 to 29.8.
2018-07-19,2018-07-19 08:38:12,Viasat History CEE,VW02717,move_to_early_prime,30,10.45,19.32,29.77,Move 'VW02717' from 08:38 to move to early prime (+30 min). Estimated uplift 10.4 points from 19.3 to 29.8.
2018-07-19,2018-07-19 08:38:42,Viasat History CEE,IWHIS134,keep,0,4.33,25.44,29.77,Keep 'IWHIS134' as scheduled at 08:38. Current placement is acceptable. Estimated effectiveness 25.4/100.
2018-07-19,2018-07-19 08:38:52,Viasat History CEE,VWOPIN,keep,0,6.61,20.17,26.78,Keep 'VWOPIN' as scheduled at 08:38. Current placement is acceptable. Estimated effectiveness 20.2/100.
2018-07-19,2018-07-19 08:50:39,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 08:50:39,Viasat History CEE,VWOPOUT,keep,0,0.0,39.12,36.38,Keep 'VWOPOUT' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness 39.1/100.
2018-07-19,2018-07-19 08:50:40,Viasat History CEE,VW02684,keep,0,0.0,32.85,31.09,Keep 'VW02684' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness 32.9/100.
2018-07-19,2018-07-19 08:50:55,Viasat History CEE,VW02733,keep,0,0.0,41.11,39.37,Keep 'VW02733' as scheduled at 08:50. Current placement is acceptable. Estimated effectiveness 41.1/100.
2018-07-19,2018-07-19 08:51:25,Viasat History CEE,VW02730,keep,0,0.0,42.21,39.37,Keep 'VW02730' as scheduled at 08:51. Current placement is acceptable. Estimated effectiveness 42.2/100.
2018-07-19,2018-07-19 08:51:55,Viasat History CEE,VW02717,keep,0,0.0,43.23,39.37,Keep 'VW02717' as scheduled at 08:51. Current placement is acceptable. Estimated effectiveness 43.2/100.
2018-07-19,2018-07-19 08:52:25,Viasat History CEE,IWHIS134,keep,0,2.14,37.23,39.37,Keep 'IWHIS134' as scheduled at 08:52. Current placement is acceptable. Estimated effectiveness 37.2/100.
2018-07-19,2018-07-19 08:52:35,Viasat History CEE,VWOPIN,keep,0,3.2,33.18,36.38,Keep 'VWOPIN' as scheduled at 08:52. Current placement is acceptable. Estimated effectiveness 33.2/100.
2018-07-19,2018-07-19 09:14:54,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-19,2018-07-19 09:14:54,Viasat History CEE,VWOPOUT,keep,0,2.68,32.1,34.78,Keep 'VWOPOUT' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness 32.1/100.
2018-07-19,2018-07-19 09:14:55,Viasat History CEE,VW02684,keep,0,0.0,30.19,29.49,Keep 'VW02684' as scheduled at 09:14. Current placement is acceptable. Estimated effectiveness 30.2/100.
2018-07-19,2018-07-19 09:15:10,Viasat History CEE,VW02733,keep,0,2.27,35.5,37.77,Keep 'VW02733' as scheduled at 09:15. Current placement is acceptable. Estimated effectiveness 35.5/100.
2018-07-19,2018-07-19 09:15:40,Viasat History CEE,VW02730,keep,0,0.0,41.22,37.77,Keep 'VW02730' as scheduled at 09:15. Current placement is acceptable. Estimated effectiveness 41.2/100.
2018-07-19,2018-07-19 09:16:10,Viasat History CEE,VW02717,keep,0,0.0,40.34,37.77,Keep 'VW02717' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 40.3/100.
2018-07-19,2018-07-19 09:16:40,Viasat History CEE,IWHIS134,keep,0,0.0,38.73,37.77,Keep 'IWHIS134' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 38.7/100.
2018-07-19,2018-07-19 09:16:50,Viasat History CEE,VWOPIN,keep,0,6.08,28.7,34.78,Keep 'VWOPIN' as scheduled at 09:16. Current placement is acceptable. Estimated effectiveness 28.7/100.
2018-07-23,2018-07-23 06:00:00,Viasat History CEE,IWHIS132,keep,0,0.0,35.59,34.32,Keep 'IWHIS132' as scheduled at 06:00. Current placement is acceptable. Estimated effectiveness 35.6/100.
2018-07-23,2018-07-23 06:46:09,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-23,2018-07-23 06:46:09,Viasat History CEE,VWOPOUT,keep,0,0.26,31.06,31.32,Keep 'VWOPOUT' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 31.1/100.
2018-07-23,2018-07-23 06:46:10,Viasat History CEE,VW02684,keep,0,0.0,29.42,26.04,Keep 'VW02684' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 29.4/100.
2018-07-23,2018-07-23 06:46:25,Viasat History CEE,VW02733,keep,0,5.12,29.2,34.32,Keep 'VW02733' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 29.2/100.
2018-07-23,2018-07-23 06:46:55,Viasat History CEE,VW02730,keep,0,0.28,34.04,34.32,Keep 'VW02730' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 34.0/100.
2018-07-23,2018-07-23 06:47:25,Viasat History CEE,VW02717,keep,0,2.57,31.75,34.32,Keep 'VW02717' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 31.8/100.
2018-07-23,2018-07-23 06:47:55,Viasat History CEE,IWHIS134,keep,0,4.34,29.98,34.32,Keep 'IWHIS134' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 30.0/100.
