date,datetime,channel,house_number,promo_title,observed_effectiveness_score,best_possible_score,uplift_if_optimised,should_move,recommended_position,recommended_offset_minutes,advice_text
2018-07-18,2018-07-18 08:18:53,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:18:53,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,24.56,28.84,4.28,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:18:54,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,13.85,23.55,9.7,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:19:09,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,30.45,31.83,1.38,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:19:39,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,28.86,31.83,2.97,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:20:09,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,23.93,31.83,7.9,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:20:39,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,27.89,31.83,3.94,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:20:49,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,23.41,28.84,5.43,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:36:56,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:36:56,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,27.44,27.24,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:36:57,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,16.92,21.95,5.03,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:37:12,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,19.75,30.23,10.48,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:37:42,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,21.99,30.23,8.24,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:38:12,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,24.76,30.23,5.47,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:38:42,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,0.0,27.47,27.47,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:38:52,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,20.08,27.24,7.16,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:50:39,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:50:39,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,14.9,25.64,10.74,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:50:40,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,15.45,20.35,4.9,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:50:55,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,19.35,28.63,9.28,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:51:25,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,21.42,28.63,7.21,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:51:55,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,18.85,28.63,9.78,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:52:25,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,23.21,28.63,5.42,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:52:35,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,16.47,25.64,9.17,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 09:14:54,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:14:54,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,35.28,35.24,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:14:55,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,29.07,29.95,0.88,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:15:10,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,35.64,38.23,2.59,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:15:40,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,42.19,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:16:10,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,38.49,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:16:40,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,38.44,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 09:16:50,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,36.84,35.24,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:00:00,Viasat History CEE,IWHIS132,Animated Ident 1 - Napoleon HD cutdown 10,37.19,37.77,0.58,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:46:09,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:46:09,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,37.47,34.78,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:46:10,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,30.03,29.49,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:46:25,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,37.0,37.77,0.77,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:46:55,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,37.69,37.77,0.08,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:47:25,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,37.4,37.77,0.37,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:47:55,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,34.63,37.77,3.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 06:48:05,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,32.01,34.78,2.77,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:04:33,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:04:33,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,30.43,33.18,2.75,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:04:34,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,26.83,27.89,1.06,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:04:49,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,32.23,36.17,3.94,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:05:19,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,27.38,36.17,8.79,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 07:05:49,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,33.91,36.17,2.26,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:06:19,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,35.13,36.17,1.04,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:06:29,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,30.91,33.18,2.27,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:22:21,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:22:21,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,19.46,31.58,12.12,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 07:22:22,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,26.15,26.29,0.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:22:37,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,27.33,34.57,7.24,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:23:07,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,31.25,34.57,3.32,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:23:37,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,30.84,34.57,3.73,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:24:07,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,28.95,34.57,5.62,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 07:24:17,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,28.01,31.58,3.57,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:00:48,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:00:48,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,28.33,29.98,1.65,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:00:49,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,17.65,24.69,7.04,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:01:04,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,22.1,32.97,10.87,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 08:01:34,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,26.42,32.97,6.55,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:02:04,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,27.45,32.97,5.52,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:02:34,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,27.83,32.97,5.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:02:44,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,23.65,29.98,6.33,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:18:53,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,21.74,28.38,6.64,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:18:53,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:18:54,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,10.96,23.09,12.13,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 08:19:09,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,25.52,31.37,5.85,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:19:39,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,28.91,31.37,2.46,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:20:09,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,28.39,31.37,2.98,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:20:39,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,28.65,31.37,2.72,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:20:49,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,21.76,28.38,6.62,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:36:56,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,20.52,26.78,6.26,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:36:56,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:36:57,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,9.35,21.49,12.14,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 08:37:12,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,21.87,29.77,7.9,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:37:42,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,19.06,29.77,10.71,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 08:38:12,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,19.32,29.77,10.45,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-19,2018-07-19 08:38:42,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,25.44,29.77,4.33,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:38:52,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,20.17,26.78,6.61,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:50:39,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:50:39,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,39.12,36.38,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:50:40,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,32.85,31.09,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:50:55,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,41.11,39.37,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:51:25,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,42.21,39.37,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:51:55,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,43.23,39.37,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:52:25,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,37.23,39.37,2.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 08:52:35,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,33.18,36.38,3.2,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:14:54,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:14:54,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,32.1,34.78,2.68,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:14:55,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,30.19,29.49,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:15:10,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,35.5,37.77,2.27,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:15:40,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,41.22,37.77,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:16:10,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,40.34,37.77,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:16:40,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,38.73,37.77,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-19,2018-07-19 09:16:50,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,28.7,34.78,6.08,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:00:00,Viasat History CEE,IWHIS132,Animated Ident 1 - Napoleon HD cutdown 10,35.59,34.32,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:46:09,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:46:09,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,31.06,31.32,0.26,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:46:10,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,29.42,26.04,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:46:25,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,29.2,34.32,5.12,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:46:55,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,34.04,34.32,0.28,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:47:25,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,31.75,34.32,2.57,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:47:55,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,29.98,34.32,4.34,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 06:48:05,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,29.11,31.32,2.21,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 07:04:33,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 07:04:33,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,26.95,29.72,2.77,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 07:04:34,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,22.57,24.44,1.87,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 07:04:49,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,22.96,32.72,9.76,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-23,2018-07-23 07:05:19,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,31.69,32.72,1.03,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-23,2018-07-23 07:05:49,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,22.93,32.72,9.79,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-23,2018-07-23 07:06:19,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,24.42,32.72,8.3,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-23,2018-07-23 07:06:29,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,22.22,29.72,7.5,0,keep,0,Current placement is acceptable relative to contextual signals.
